Date	LOCATION	Approved_applications	Actual_use	Headcounts		Country
05/20	NZL	 0   	 66.27 	 1,436 		New Zealand
05/20	FRA	 0   	 32.61 	 13,140 		France
04/20	CHE	 0   	#N/A	 1,842 		Switzerland
05/20	ITA	 0   	#N/A	 8,178 		Italy
05/20	AUT	 0   	 36.84 	 1,415 		Austria
05/20	PRT	 0   	#N/A	 1,344 		Portugal
05/20	GBR	 0   	 31.47 	 8,696 		United Kingdom
05/20	DEU	 0   	 18.74 	 11,720 		Germany
04/20	LUX	 0   	#N/A	 73 		Luxembourg
05/20	NLD	 0   	 27.97 	 2,100 		Netherlands
05/20	AUS	 0   	 24.69 	 2,900 		Australia
05/20	BEL	 0   	#N/A	 939 		Belgium
05/20	IRL	 0   	 18.83 	 380 		Irleland
05/20	CZE	 0   	 18.09 	 799 		Czech Republic
05/20	ESP	 0   	 17.81 	 2,999 		Spain
05/20	SWE	 0   	 11.48 	 531 		Sweden
05/20	DNK	 0   	 9.19 	 243 		Denmark
05/20	NOR	 0   	 8.50 	 217 		Norway
05/20	FIN	 0   	 7.35 	 162 		Finland
05/20	LVA	 0   	 5.61 	 45 		Latvia
06/20	CAN	 0   	 5.44 	 882 		Canada
05/20	USA	 0   	 0.14 	 214 		United States
	OTO	 24.95 	#N/A	 60,255 		OECD
